# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
eine bisschen zu künstlich	13	
eine bisschen zu klischeehaft	13	
eine bisschen zu hastig	13	
eine bisschen zu frech	13	
eine bisschen zu fein	13	
eine bisschen zu emotional	13	
eine bisschen zu drastisch	13	
eine bisschen zu dicht	13	
eine bisschen zu bemüht	13	
eine bisschen zu aggressiv	13	
ein bisschen zu warm	13	
ein bisschen zu bunt	13	
ein bisschen zu billig	13	
eins bisschen zu schnell	12	
eins bisschen zu groß	12	
eins bisschen zu einfach	12	
eine bisschen zu üppig	12	
eine bisschen zu umfangreich	12	
eine bisschen zu sauber	12	
eine bisschen zu routiniert	12	
eine bisschen zu lasch	12	
eine bisschen zu kurzfristig	12	
eine bisschen zu großzügig	12	
eine bisschen zu aufgesetzt	12	
eine bisschen zu anspruchsvoll	12	
ein bisschen zu weich	12	
ein bisschen zu streng	12	
ein bisschen zu oberflächlich	12	
ein bisschen zu häufig	12	
ein bisschen zu einseitig	12	
eine bisschen zu weiß	11	
eine bisschen zu unruhig	11	
eine bisschen zu stürmisch	11	
eine bisschen zu soft	11	
eine bisschen zu selbstsicher	11	
eine bisschen zu plakativ	11	
eine bisschen zu pathetisch	11	
eine bisschen zu offensiv	11	
eine bisschen zu konservativ	11	
eine bisschen zu gewollt	11	
eine bisschen zu flüssig	11	
eine bisschen zu eigensinnig	11	
eine bisschen zu eifrig	11	
eine bisschen zu blass	11	
eine bisschen zu abrupt	11	
ein bisschen zu wichtig	11	
ein bisschen zu simpel	11	
ein bisschen zu niedrig	11	
ein bisschen zu brav	11	
ein bisschen zu arg	11	
eins bisschen zu weit	10	
eine bisschen zu verrückt	10	
eine bisschen zu unrealistisch	10	
eine bisschen zu schwarz-weiß	10	
eine bisschen zu schwammig	10	
eine bisschen zu schnulzig	10	
eine bisschen zu rot	10	
eine bisschen zu rosa	10	
eine bisschen zu passiv	10	
eine bisschen zu niedlich	10	
eine bisschen zu klar	10	
eine bisschen zu kantig	10	
eine bisschen zu harmlos	10	
eine bisschen zu fad	10	
eine bisschen zu ehrgeizig	10	
eine bisschen zu bieder	10	
eine bisschen zu arrogant	10	
eine bisschen zu altmodisch	10	
eine bisschen zu abenteuerlich	10	
eine Bisschen zu weit	10	
ein bisschen zu umständlich	10	
