Source,Target,Type,Id,Label,Weight,att1,att2,Weight_copy
77,635,Undirected,76,,20.839821,20.83982,ein Fünkchen,20.839821
78,635,Undirected,77,,20.550261,20.55026,ein Fünkchen,20.550261
79,635,Undirected,78,,19.557871,19.55787,ein Fünkchen,19.557871
80,635,Undirected,79,,19.44039,19.44039,ein Fünkchen,19.44039
81,635,Undirected,80,,19.2701,19.2701,ein Fünkchen,19.2701
82,635,Undirected,81,,18.43199,18.43199,ein Fünkchen,18.43199
83,635,Undirected,82,,17.918591,17.91859,ein Fünkchen,17.918591
84,635,Undirected,83,,17.89208,17.89208,ein Fünkchen,17.89208
85,635,Undirected,84,,17.83073,17.83073,ein Fünkchen,17.83073
86,635,Undirected,85,,17.821171,17.82117,ein Fünkchen,17.821171
87,635,Undirected,86,,17.78336,17.78336,ein Fünkchen,17.78336
88,635,Undirected,87,,17.422729,17.42273,ein Fünkchen,17.422729
89,635,Undirected,88,,16.42848,16.42848,ein Fünkchen,16.42848
90,635,Undirected,89,,15.81058,15.81058,ein Fünkchen,15.81058
91,635,Undirected,90,,15.55225,15.55225,ein Fünkchen,15.55225
92,635,Undirected,91,,15.48994,15.48994,ein Fünkchen,15.48994
93,635,Undirected,92,,15.43688,15.43688,ein Fünkchen,15.43688
94,635,Undirected,93,,15.31324,15.31324,ein Fünkchen,15.31324
95,635,Undirected,94,,15.26105,15.26105,ein Fünkchen,15.26105
96,635,Undirected,95,,15.03248,15.03248,ein Fünkchen,15.03248
97,635,Undirected,96,,15.01304,15.01304,ein Fünkchen,15.01304
98,635,Undirected,97,,14.93931,14.93931,ein Fünkchen,14.93931
99,635,Undirected,98,,14.93452,14.93452,ein Fünkchen,14.93452
100,635,Undirected,99,,14.9006,14.9006,ein Fünkchen,14.9006
101,636,Undirected,100,,4045.343994,4045.34415,ein Hauch,4045.343994
102,636,Undirected,101,,3386.153076,3386.15274,ein Hauch,3386.153076
103,636,Undirected,102,,2215.200928,2215.20091,ein Hauch,2215.200928
104,636,Undirected,103,,1984.859009,1984.85911,ein Hauch,1984.859009
13,636,Undirected,104,,1852.109985,1852.11033,ein Hauch,1852.109985
105,636,Undirected,105,,1725.68103,1725.68126,ein Hauch,1725.68103
106,636,Undirected,106,,1666.046021,1666.04565,ein Hauch,1666.046021
107,636,Undirected,107,,1387.187988,1387.18766,ein Hauch,1387.187988
108,636,Undirected,108,,1357.405029,1357.40533,ein Hauch,1357.405029
109,636,Undirected,109,,1018.513977,1018.51422,ein Hauch,1018.513977
25,636,Undirected,110,,897.356323,897.35634,ein Hauch,897.356323
110,636,Undirected,111,,833.025391,833.02545,ein Hauch,833.025391
111,636,Undirected,112,,822.56543,822.56537,ein Hauch,822.56543
112,636,Undirected,113,,814.948792,814.94876,ein Hauch,814.948792
113,636,Undirected,114,,686.658875,686.65887,ein Hauch,686.658875
114,636,Undirected,115,,654.999207,654.99918,ein Hauch,654.999207
115,636,Undirected,116,,652.392029,652.39196,ein Hauch,652.392029
116,636,Undirected,117,,649.446594,649.44663,ein Hauch,649.446594
117,636,Undirected,118,,611.150085,611.15008,ein Hauch,611.150085
118,636,Undirected,119,,591.181091,591.18105,ein Hauch,591.181091
119,636,Undirected,120,,582.131409,582.13137,ein Hauch,582.131409
120,636,Undirected,121,,545.420105,545.42013,ein Hauch,545.420105
121,636,Undirected,122,,532.478027,532.47802,ein Hauch,532.478027
122,636,Undirected,123,,516.746704,516.74666,ein Hauch,516.746704
123,636,Undirected,124,,513.917114,513.91705,ein Hauch,513.917114
124,636,Undirected,125,,479.549805,479.54981,ein Hauch,479.549805
125,636,Undirected,126,,455.433289,455.43334,ein Hauch,455.433289
126,636,Undirected,127,,420.095093,420.09508,ein Hauch,420.095093
127,636,Undirected,128,,417.648499,417.64846,ein Hauch,417.648499
128,636,Undirected,129,,382.075989,382.07598,ein Hauch,382.075989
129,636,Undirected,130,,371.434998,371.43497,ein Hauch,371.434998
6,636,Undirected,131,,353.531189,353.53121,ein Hauch,353.531189
23,636,Undirected,132,,333.986786,333.9868,ein Hauch,333.986786
130,636,Undirected,133,,322.689514,322.68947,ein Hauch,322.689514
131,636,Undirected,134,,320.096985,320.09702,ein Hauch,320.096985
132,636,Undirected,135,,310.433014,310.43303,ein Hauch,310.433014
133,636,Undirected,136,,309.326294,309.3263,ein Hauch,309.326294
134,636,Undirected,137,,309.120789,309.12084,ein Hauch,309.120789
135,636,Undirected,138,,299.999908,299.9999,ein Hauch,299.999908
136,636,Undirected,139,,296.743195,296.74321,ein Hauch,296.743195
137,636,Undirected,140,,296.3284,296.3284,ein Hauch,296.3284
81,636,Undirected,141,,294.878387,294.87845,ein Hauch,294.878387
138,636,Undirected,142,,278.646088,278.64607,ein Hauch,278.646088
139,636,Undirected,143,,254.646103,254.64606,ein Hauch,254.646103
140,636,Undirected,144,,249.889801,249.8898,ein Hauch,249.889801
141,636,Undirected,145,,242.334396,242.33439,ein Hauch,242.334396
142,636,Undirected,146,,241.912598,241.91259,ein Hauch,241.912598
143,636,Undirected,147,,240.698502,240.69845,ein Hauch,240.698502
144,636,Undirected,148,,235.769897,235.76993,ein Hauch,235.769897
145,636,Undirected,149,,235.322906,235.32294,ein Hauch,235.322906
146,636,Undirected,150,,235.012405,235.01241,ein Hauch,235.012405
147,636,Undirected,151,,233.975601,233.97558,ein Hauch,233.975601
148,636,Undirected,152,,232.2686,232.26863,ein Hauch,232.2686
149,636,Undirected,153,,224.050507,224.05046,ein Hauch,224.050507
150,636,Undirected,154,,218.625397,218.62537,ein Hauch,218.625397
151,636,Undirected,155,,216.170395,216.17038,ein Hauch,216.170395
152,636,Undirected,156,,216.152893,216.15286,ein Hauch,216.152893
153,636,Undirected,157,,212.246002,212.24597,ein Hauch,212.246002
154,636,Undirected,158,,208.042496,208.04254,ein Hauch,208.042496
155,636,Undirected,159,,205.167801,205.16784,ein Hauch,205.167801
156,636,Undirected,160,,203.796097,203.79613,ein Hauch,203.796097
157,636,Undirected,161,,203.662292,203.66231,ein Hauch,203.662292
158,636,Undirected,162,,201.314896,201.3149,ein Hauch,201.314896
159,636,Undirected,163,,195.980606,195.98063,ein Hauch,195.980606
160,636,Undirected,164,,193.967606,193.96765,ein Hauch,193.967606
161,636,Undirected,165,,193.719406,193.71944,ein Hauch,193.719406
162,636,Undirected,166,,191.900299,191.90026,ein Hauch,191.900299
163,636,Undirected,167,,191.070908,191.07086,ein Hauch,191.070908
164,636,Undirected,168,,190.889206,190.88917,ein Hauch,190.889206
165,636,Undirected,169,,189.521698,189.5217,ein Hauch,189.521698
166,636,Undirected,170,,189.294403,189.2944,ein Hauch,189.294403
167,636,Undirected,171,,188.917694,188.91765,ein Hauch,188.917694
168,636,Undirected,172,,188.622498,188.6225,ein Hauch,188.622498
169,636,Undirected,173,,187.6129,187.61289,ein Hauch,187.6129
170,636,Undirected,174,,182.102295,182.10228,ein Hauch,182.102295
171,636,Undirected,175,,181.667603,181.66757,ein Hauch,181.667603
172,636,Undirected,176,,181.066895,181.06689,ein Hauch,181.066895
173,636,Undirected,177,,175.296997,175.29704,ein Hauch,175.296997
174,636,Undirected,178,,174.195206,174.19522,ein Hauch,174.195206
175,636,Undirected,179,,172.146194,172.14622,ein Hauch,172.146194
176,636,Undirected,180,,170.5793,170.57933,ein Hauch,170.5793
